timestamp,date,activity
06-06-2002 13:00,06-06-2002,161
06-06-2002 13:01,06-06-2002,80
06-06-2002 13:02,06-06-2002,175
06-06-2002 13:03,06-06-2002,728
06-06-2002 13:04,06-06-2002,911
06-06-2002 13:05,06-06-2002,151
06-06-2002 13:06,06-06-2002,121
06-06-2002 13:07,06-06-2002,23
06-06-2002 13:08,06-06-2002,96
06-06-2002 13:09,06-06-2002,25
06-06-2002 13:10,06-06-2002,96
06-06-2002 13:11,06-06-2002,52
06-06-2002 13:12,06-06-2002,303
06-06-2002 13:13,06-06-2002,256
06-06-2002 13:14,06-06-2002,529
06-06-2002 13:15,06-06-2002,512
06-06-2002 13:16,06-06-2002,911
06-06-2002 13:17,06-06-2002,545
06-06-2002 13:18,06-06-2002,828
06-06-2002 13:19,06-06-2002,479
06-06-2002 13:20,06-06-2002,449
06-06-2002 13:21,06-06-2002,322
06-06-2002 13:22,06-06-2002,303
06-06-2002 13:23,06-06-2002,136
06-06-2002 13:24,06-06-2002,0
06-06-2002 13:25,06-06-2002,0
06-06-2002 13:26,06-06-2002,0
06-06-2002 13:27,06-06-2002,3
06-06-2002 13:28,06-06-2002,60
06-06-2002 13:29,06-06-2002,640
06-06-2002 13:30,06-06-2002,705
06-06-2002 13:31,06-06-2002,776
06-06-2002 13:32,06-06-2002,854
06-06-2002 13:33,06-06-2002,828
06-06-2002 13:34,06-06-2002,620
06-06-2002 13:35,06-06-2002,564
06-06-2002 13:36,06-06-2002,188
06-06-2002 13:37,06-06-2002,620
06-06-2002 13:38,06-06-2002,136
06-06-2002 13:39,06-06-2002,264
06-06-2002 13:40,06-06-2002,131
06-06-2002 13:41,06-06-2002,86
06-06-2002 13:42,06-06-2002,80
06-06-2002 13:43,06-06-2002,103
06-06-2002 13:44,06-06-2002,971
06-06-2002 13:45,06-06-2002,883
06-06-2002 13:46,06-06-2002,911
06-06-2002 13:47,06-06-2002,911
06-06-2002 13:48,06-06-2002,751
06-06-2002 13:49,06-06-2002,662
06-06-2002 13:50,06-06-2002,801
06-06-2002 13:51,06-06-2002,1034
06-06-2002 13:52,06-06-2002,620
06-06-2002 13:53,06-06-2002,828
06-06-2002 13:54,06-06-2002,728
06-06-2002 13:55,06-06-2002,322
06-06-2002 13:56,06-06-2002,683
