timestamp,date,activity
02-10-2002 15:00,02-10-2002,181
02-10-2002 15:01,02-10-2002,76
02-10-2002 15:02,02-10-2002,141
02-10-2002 15:03,02-10-2002,156
02-10-2002 15:04,02-10-2002,32
02-10-2002 15:05,02-10-2002,83
02-10-2002 15:06,02-10-2002,256
02-10-2002 15:07,02-10-2002,45
02-10-2002 15:08,02-10-2002,146
02-10-2002 15:09,02-10-2002,223
02-10-2002 15:10,02-10-2002,70
02-10-2002 15:11,02-10-2002,131
02-10-2002 15:12,02-10-2002,80
02-10-2002 15:13,02-10-2002,70
02-10-2002 15:14,02-10-2002,407
02-10-2002 15:15,02-10-2002,121
02-10-2002 15:16,02-10-2002,161
02-10-2002 15:17,02-10-2002,256
02-10-2002 15:18,02-10-2002,464
02-10-2002 15:19,02-10-2002,264
02-10-2002 15:20,02-10-2002,394
02-10-2002 15:21,02-10-2002,582
02-10-2002 15:22,02-10-2002,303
02-10-2002 15:23,02-10-2002,911
02-10-2002 15:24,02-10-2002,883
02-10-2002 15:25,02-10-2002,357
02-10-2002 15:26,02-10-2002,911
02-10-2002 15:27,02-10-2002,828
02-10-2002 15:28,02-10-2002,828
02-10-2002 15:29,02-10-2002,564
02-10-2002 15:30,02-10-2002,464
02-10-2002 15:31,02-10-2002,1034
02-10-2002 15:32,02-10-2002,434
02-10-2002 15:33,02-10-2002,1067
02-10-2002 15:34,02-10-2002,1463
02-10-2002 15:35,02-10-2002,1137
02-10-2002 15:36,02-10-2002,620
02-10-2002 15:37,02-10-2002,564
02-10-2002 15:38,02-10-2002,600
02-10-2002 15:39,02-10-2002,911
02-10-2002 15:40,02-10-2002,357
02-10-2002 15:41,02-10-2002,941
02-10-2002 15:42,02-10-2002,1418
02-10-2002 15:43,02-10-2002,1290
02-10-2002 15:44,02-10-2002,2131
02-10-2002 15:45,02-10-2002,495
02-10-2002 15:46,02-10-2002,883
02-10-2002 15:47,02-10-2002,971
02-10-2002 15:48,02-10-2002,941
02-10-2002 15:49,02-10-2002,883
02-10-2002 15:50,02-10-2002,582
02-10-2002 15:51,02-10-2002,971
02-10-2002 15:52,02-10-2002,728
02-10-2002 15:53,02-10-2002,1102
02-10-2002 15:54,02-10-2002,1002
02-10-2002 15:55,02-10-2002,434
02-10-2002 15:56,02-10-2002,801
02-10-2002 15:57,02-10-2002,479
02-10-2002 15:58,02-10-2002,751
02-10-2002 15:59,02-10-2002,1002
02-10-2002 16:00,02-10-2002,776
02-10-2002 16:01,02-10-2002,512
02-10-2002 16:02,02-10-2002,911
02-10-2002 16:03,02-10-2002,464
02-10-2002 16:04,02-10-2002,1067
